epoch,iso,state,tables_done,tables_total,files_done,files_total,chunks_done,http
"1787146215","2026-08-19T15:30:15+02:00","running",0,0,0,1,9,"200"
"1787146230","2026-08-19T15:30:30+02:00","running",0,0,0,1,35,"200"
"1787146245","2026-08-19T15:30:46+02:00","running",0,0,0,1,62,"200"
"1787146261","2026-08-19T15:31:01+02:00","running",0,0,0,1,89,"200"
"1787146276","2026-08-19T15:31:16+02:00","running",0,0,0,1,115,"200"
"1787146291","2026-08-19T15:31:32+02:00","ready",0,0,1,1,139,"200"
