epoch,iso,state,tables_done,tables_total,files_done,files_total,chunks_done,http
"1787146923","2026-08-19T15:42:04+02:00","running",0,0,0,1,0,"200"
"1787146939","2026-08-19T15:42:19+02:00","running",0,0,0,1,1,"200"
"1787146954","2026-08-19T15:42:34+02:00","running",0,0,0,1,3,"200"
"1787146969","2026-08-19T15:42:50+02:00","running",0,0,0,1,4,"200"
"1787146985","2026-08-19T15:43:05+02:00","running",0,0,0,1,6,"200"
"1787147000","2026-08-19T15:43:20+02:00","running",0,0,0,1,7,"200"
"1787147015","2026-08-19T15:43:36+02:00","running",0,0,0,1,9,"200"
"1787147031","2026-08-19T15:43:51+02:00","running",0,0,0,1,10,"200"
"1787147046","2026-08-19T15:44:06+02:00","running",0,0,0,1,12,"200"
"1787147061","2026-08-19T15:44:22+02:00","running",0,0,0,1,13,"200"
"1787147077","2026-08-19T15:44:37+02:00","running",0,0,0,1,14,"200"
"1787147092","2026-08-19T15:44:52+02:00","running",0,0,0,1,16,"200"
"1787147107","2026-08-19T15:45:08+02:00","ready",0,0,1,1,18,"200"
